Year_Birth,Education,Income,Kidhome,Teenhome,Recency,MntCoke,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Age,Total_Children,Total_Spending,Total_Transactions,Conversion_Rate,Marital_Cerai,Marital_Duda,Marital_Janda,Marital_Lajang,Marital_Menikah
1957,3,58138000.0,0,0,58,635000,88000,546000,172000,88000,88000,3,8,10,4,7,0,0,0,0,0,0,1,66,0,1617000,25,0.1428571428571428,False,False,False,True,False
1954,3,46344000.0,1,1,38,11000,1000,6000,2000,1000,6000,2,1,1,2,5,0,0,0,0,0,0,0,69,2,27000,6,0.0,False,False,False,True,False
1965,3,71613000.0,0,0,26,426000,49000,127000,111000,21000,42000,1,8,2,10,4,0,0,0,0,0,0,0,58,0,776000,21,0.0,False,False,False,False,False
1984,3,26646000.0,1,0,26,11000,4000,20000,10000,3000,5000,2,2,0,4,6,0,0,0,0,0,0,0,39,1,53000,8,0.0,False,False,False,False,False
1981,5,58293000.0,1,0,94,173000,43000,118000,46000,27000,15000,5,5,3,6,5,0,0,0,0,0,0,0,42,1,422000,19,0.0,False,False,False,False,True
1967,4,62513000.0,0,1,16,520000,42000,98000,0,42000,14000,2,6,4,10,6,0,0,0,0,0,0,0,56,1,716000,22,0.0,False,False,False,False,False
1971,3,55635000.0,0,1,34,235000,65000,164000,50000,49000,27000,4,7,3,7,6,0,0,0,0,0,0,0,52,1,590000,21,0.0,True,False,False,False,False
1985,5,33454000.0,1,0,32,76000,10000,56000,3000,1000,23000,2,4,0,4,8,0,0,0,0,0,0,0,38,1,169000,10,0.0,False,False,False,False,True
1974,5,30351000.0,1,0,19,14000,0,24000,3000,3000,2000,1,3,0,2,9,0,0,0,0,0,0,1,49,1,46000,6,0.1111111111111111,False,False,False,False,False
1950,5,5648000.0,1,1,68,28000,0,6000,1000,1000,13000,1,1,0,0,20,1,0,0,0,0,0,0,73,2,49000,2,0.0,False,False,False,False,False
1983,3,51381500.0,1,0,11,5000,5000,6000,0,2000,1000,1,1,0,2,7,0,0,0,0,0,0,0,40,1,19000,4,0.0,False,False,False,False,True
1976,1,7500000.0,0,0,59,6000,16000,11000,11000,1000,16000,1,2,0,3,8,0,0,0,0,0,0,0,47,0,61000,6,0.0,False,False,False,False,True
1959,3,63033000.0,0,0,82,194000,61000,480000,225000,112000,30000,1,3,4,8,2,0,0,0,0,0,0,0,64,0,1102000,16,0.0,True,False,False,False,False
1952,4,59354000.0,1,1,53,233000,2000,53000,3000,5000,14000,3,6,1,5,6,0,0,0,0,0,0,0,71,2,310000,15,0.0,True,False,False,False,False
1987,3,17323000.0,0,0,38,3000,14000,17000,6000,1000,5000,1,1,0,3,8,0,0,0,0,0,0,0,36,0,46000,5,0.0,False,False,False,False,True
1946,5,82800000.0,0,0,23,1006000,22000,115000,59000,68000,45000,1,7,6,12,3,0,0,1,1,0,0,1,77,0,1315000,26,0.3333333333333333,False,False,False,True,False
1980,3,41850000.0,1,1,51,53000,5000,19000,2000,13000,4000,3,3,0,3,8,0,0,0,0,0,0,0,43,2,96000,9,0.0,False,False,False,False,True
